Year,World Inflation Rate,taken from https://www.macrotrends.net/countries/WLD/world/inflation-rate-cpi
2004,3.38%,
2005,4.11%,
2006,4.28%,
2007,4.82%,
2008,8.95%,
2009,2.92%,
2010,3.34%,
2011,4.82%,
2012,3.73%,
2013,2.61%,
2014,2.35%,
2015,1.43%,
2016,1.49%,
2017,2.18%,
2018,2.42%,
2019,2.15%,
2020,1.94%,
